0,1,2,3,4,5,6,7,8,9,10,11
46937.0,-0.969,-0.237,0.138,0.824,-0.244,0.031,25.0,-55.0,20.0,1743902277.6415353,0.0
46953.0,-0.968,-0.234,0.146,0.885,-0.305,0.0,24.0,-55.0,21.0,1743902277.7459216,0.0
46953.0,-0.969,-0.245,0.14,0.916,-0.397,-0.061,24.0,-55.0,20.0,1743902277.745922,0.0
46953.0,-0.966,-0.233,0.145,0.763,-0.183,0.122,24.0,-55.0,20.0,1743902277.7459223,0.0
46969.0,-0.968,-0.24,0.143,0.946,-0.488,0.092,26.0,-55.0,19.0,1743902277.849826,0.0
46969.0,-0.974,-0.242,0.141,0.854,-0.122,0.031,24.0,-54.0,20.0,1743902277.849826,0.0
46985.0,-0.971,-0.237,0.148,0.977,-0.61,0.061,25.0,-55.0,21.0,1743902277.94884,0.0
46985.0,-0.978,-0.233,0.153,1.038,-0.916,0.031,25.0,-56.0,21.0,1743902277.9488404,0.0
46985.0,-0.978,-0.237,0.145,0.854,-0.153,0.031,25.0,-55.0,20.0,1743902277.9488406,0.0
47002.0,-0.979,-0.236,0.141,0.793,0.0,0.061,26.0,-55.0,21.0,1743902278.0489328,0.0
47002.0,-0.978,-0.236,0.152,0.946,-0.58,0.092,25.0,-55.0,19.0,1743902278.048933,0.0
47018.0,-0.975,-0.237,0.154,0.977,-0.793,0.061,24.0,-56.0,20.0,1743902278.1503572,0.0
47018.0,-0.978,-0.235,0.144,1.068,-0.732,0.0,26.0,-56.0,19.0,1743902278.1503575,0.0
47018.0,-0.976,-0.236,0.15,0.641,0.397,0.122,24.0,-55.0,19.0,1743902278.1503575,0.0
47036.0,-0.977,-0.238,0.148,0.946,-0.58,0.031,25.0,-55.0,21.0,1743902278.2643976,0.0
47036.0,-0.974,-0.238,0.149,1.007,-0.549,0.031,25.0,-56.0,20.0,1743902278.2643979,0.0
47036.0,-0.973,-0.237,0.146,0.916,-0.336,0.031,24.0,-55.0,20.0,1743902278.264398,0.0
47050.0,-0.971,-0.236,0.151,0.916,-0.366,0.092,25.0,-56.0,21.0,1743902278.3501244,0.0
47050.0,-0.979,-0.24,0.141,0.916,-0.427,0.092,25.0,-56.0,20.0,1743902278.3501248,0.0
47067.0,-0.974,-0.234,0.143,0.854,-0.275,0.061,24.0,-55.0,19.0,1743902278.455479,0.0
